Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,BPM,Antenna,Power,Day,Date_Time,Temp
150.189,MYSE,8322,7/15/2014,7/11/2014,18:34:31,4,18.6,AH0,79,Day,7/11/2014 18:34,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:34:47,4,18.6,AH0,78,Day,7/11/2014 18:34,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:34:50,4,18.6,AH0,78,Day,7/11/2014 18:34,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:35:07,4,18.6,AH0,79,Day,7/11/2014 18:35,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:35:10,4,18.6,AH0,78,Day,7/11/2014 18:35,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:35:29,4,18.6,AH0,78,Day,7/11/2014 18:35,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:35:32,4,18.6,AH0,78,Day,7/11/2014 18:35,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:35:48,4,18.6,AH0,78,Day,7/11/2014 18:35,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:35:52,4,18.6,AH0,77,Day,7/11/2014 18:35,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:36:08,4,18.6,AH0,79,Day,7/11/2014 18:36,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:36:11,4,18.6,AH0,78,Day,7/11/2014 18:36,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:36:27,4,18.6,AH0,78,Day,7/11/2014 18:36,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:36:30,4,18.6,AH0,78,Day,7/11/2014 18:36,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:36:47,4,18.6,AH0,79,Day,7/11/2014 18:36,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:36:50,4,18.6,AH0,78,Day,7/11/2014 18:36,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:37:09,4,18.6,AH0,78,Day,7/11/2014 18:37,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:37:12,4,18.6,AH0,78,Day,7/11/2014 18:37,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:37:28,4,18.6,AH0,78,Day,7/11/2014 18:37,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:37:32,4,18.6,AH0,78,Day,7/11/2014 18:37,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:37:48,4,18.6,AH0,78,Day,7/11/2014 18:37,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:37:51,4,18.6,AH0,78,Day,7/11/2014 18:37,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:38:07,4,18.6,AH0,78,Day,7/11/2014 18:38,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:38:10,4,18.6,AH0,78,Day,7/11/2014 18:38,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:38:26,4,18.6,AH0,77,Day,7/11/2014 18:38,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:38:30,4,18.6,AH0,78,Day,7/11/2014 18:38,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:38:33,4,18.6,AH0,78,Day,7/11/2014 18:38,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:38:49,4,18.6,AH0,79,Day,7/11/2014 18:38,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:38:52,4,18.6,AH0,78,Day,7/11/2014 18:38,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:39:08,4,18.6,AH0,77,Day,7/11/2014 18:39,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:39:12,4,18.6,AH0,79,Day,7/11/2014 18:39,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:39:28,4,18.6,AH0,78,Day,7/11/2014 18:39,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:39:31,4,18.6,AH0,78,Day,7/11/2014 18:39,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:39:47,4,18.6,AH0,77,Day,7/11/2014 18:39,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:39:50,4,18.6,AH0,78,Day,7/11/2014 18:39,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:40:06,4,18.6,AH0,77,Day,7/11/2014 18:40,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:40:10,4,18.6,AH0,77,Day,7/11/2014 18:40,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:40:13,4,18.6,AH0,77,Day,7/11/2014 18:40,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:40:29,4,18.6,AH0,78,Day,7/11/2014 18:40,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:40:32,4,18.6,AH0,76,Day,7/11/2014 18:40,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:40:48,4,18.6,AH0,78,Day,7/11/2014 18:40,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:40:52,4,18.6,AH0,78,Day,7/11/2014 18:40,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:41:08,4,18.6,AH0,77,Day,7/11/2014 18:41,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:41:11,4,18.6,AH0,77,Day,7/11/2014 18:41,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:41:27,4,18.6,AH0,77,Day,7/11/2014 18:41,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:41:30,4,18.6,AH0,77,Day,7/11/2014 18:41,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:41:46,4,18.6,AH0,77,Day,7/11/2014 18:41,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:41:50,4,18.6,AH0,77,Day,7/11/2014 18:41,22.1467544
150.189,MYSE,8322,7/15/2014,7/11/2014,18:42:09,4,18.6,AH0,78,Day,7/11/2014 18:42,22.1467544
